ID Unique,CountryCode,SeriesCode,DESCRIPTION
1,ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
2,ABW,SP.POP.GROW,Data sources: United Nations World Population Prospects
3,AFG,SP.POP.GROW,Data sources: United Nations World Population Prospects
4,AFG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
5,AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
6,AFG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
7,AFG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
8,AFG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
9,AFG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
10,AFG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
11,AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
12,AGO,SP.POP.GROW,Data sources: United Nations World Population Prospects
13,ALB,SP.POP.GROW,Data sources: United Nations World Population Prospects
14,ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat"
15,AND,SP.POP.TOTL,Data sources : United Nations World Population Prospects
16,AND,SP.POP.GROW,Data sources: United Nations World Population Prospects
17,ARE,SP.POP.GROW,Data sources: United Nations World Population Prospects
18,ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
19,ARG,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
20,ARG,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
21,ARG,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
22,ARG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
23,ARG,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
24,ARG,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
25,ARG,SP.POP.GROW,Data sources: United Nations World Population Prospects
26,ARG,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
27,ARM,SP.POP.GROW,Data sources: United Nations World Population Prospects
28,ARM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
29,ASM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
30,ASM,SP.POP.GROW,Data sources: United Nations World Population Prospects
31,ATG,SP.POP.GROW,Data sources: United Nations World Population Prospects
32,ATG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
33,AUS,SP.POP.TOTL,Data sources : Australian Bureau of Statistics
34,AUS,SP.POP.1564.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
35,AUS,SP.POP.GROW,Data sources: Australian Bureau of Statistics
36,AUS,SP.POP.TOTL.MA.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
37,AUS,SP.POP.TOTL.FE.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
38,AUS,SP.POP.0014.TO.ZS,"Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
39,AUT,SP.POP.GROW,Data sources : Eurostat
40,AUT,SP.POP.TOTL,Data sources : Eurostat
41,AZE,SP.POP.TOTL,"Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
42,AZE,SP.POP.GROW,"Data sources: Eurostat, State Statistical Committee, United Nations World Population Prospects"
43,BDI,SP.POP.GROW,Data sources: United Nations World Population Prospects
44,BDI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
45,BEL,SP.POP.TOTL,Data sources : Eurostat
46,BEL,SP.POP.GROW,Data sources : Eurostat
47,BEN,SP.POP.GROW,Data sources: United Nations World Population Prospects
